name,affiliations
Adrian Sampson,Cornell University
Akanksha Jain,Google
Akshitha Sriraman,Carnegie Mellon University
Alexandros Daglis,Georgia Tech
Aritra Sengupta,Amazon
Arkaprava Basu,Indian Institute of Science
Ashish Venkat,University of Virginia
Baris Kasikci,University of Michigan and Google
Brandon Lucia,Carnegie Mellon University
Brandon Reagen,"NYU, Meta"
Brian Demsky,"University of California, Irvine"
Caroline Trippel,Stanford University
Changwoo Min,Virginia Tech
Chen Ding,University of Rochester
Christina Delimitrou,MIT
Christopher Rossbach,University of Texas at Austin and Katana Graph
Cynthia Sturton,University of North Carolina at Chapel Hill
Dan Tsafrir,Technion & VMware Research
Daniel Sorin,Duke University
Devesh Tiwari,Northeastern University
Dimitrios Skarlatos,Carnegie Mellon University
Djordje Jevdjic,National University of Singapore
Dongyoon Lee,Stony Brook University
Edouard Bugnion,EPFL
Ganesh Gopalakrishnan,University of Utah
Guilherme Cox,NVIDIA
Gustavo Petri,"ARM Research, Cambridge, UK"
Haris Volos,University of Cyprus
Haryadi S. Gunawi,University of Chicago
Heiner Litz,"University of California, Santa Cruz"
Henry Hoffmann,University of Chicago
Huaicheng Li,Virginia Tech
Hui Guan,University of Massachusetts Amherst
Hyoukjun Kwon,Meta
James Bornholt,University of Texas at Austin
Jason Nieh,Columbia University
Jayneel Gandhi,VMware Research / Meta
Jeff Chase,Duke University
Jia-Ju Bai,Tsinghua University
Jieming Yin,Nanjing University of Posts and Telecommunications
Jingwen Leng,Shanghai Jiao Tong University
John Criswell,University of Rochester
John Kim,KAIST
Jonathan Balkind,UC Santa Barbara
Joseph Devietti,University of Pennsylvania
Joseph Izraelevitz,"University of Colorado, Boulder"
Jun Yang,University of Pittsburgh
Jung Ho Ahn,Seoul National University
Kanchi Gopinath,Plaksha Univ
Kevin Skadron,University of Virginia
Kiwan Maeng,Pennsylvania State University
Klaus v. Gleissenthall,Vrije Universiteit Amsterdam
Kristin Barber,Google
Laurent Bindschaedler,MPI-SWS
Lieven Eeckhout,Ghent University
Lluís Vilanova,Imperial College London
Marios Kogias,Imperial College London & Microsoft Research
Martha Kim,Columbia University
Martin Rinard,MIT
Mary Hall,University of Utah
Matthew Hicks,Virginia Tech
Meghan Cowan,Google
Michael Bond,Ohio State University
Michael Swift,University of Wisconsin-Madison
Mingyu Gao,Tsinghua University
Minjia Zhang,Microsoft Research
Mohammad Shahrad,University of British Columbia
Myoungsoo Jung,KAIST
Nadav Amit,VMware Research Group
Nandita Vijaykumar,University of Toronto
Natalie Enright Jerger,University of Toronto
Nathan Beckmann,CMU
Nathan Dautenhahn,Rice University
Pedro Fonseca,Purdue University
Prashant J. Nair,University of British Columbia
Przemysław Pawełczak,Delft University of Technology
Radha Venkatagiri,Georgetown University
Rajeev Balasubramonian,University of Utah
Ravi Rajwar,Google
Rodrigo Bruno,"INESC-ID, IST, ULisboa"
Rong Chen,Shanghai Jiao Tong University
Rujia Wang,Illinois Institute of Technology
Santosh Nagarakatte,Rutgers University
Sara Achour,Stanford University
Saugata Ghose,University of Illinois Urbana-Champaign
Sergey Blagodurov,AMD
Shih-Wei Li,National Taiwan University
Shoaib Akram,Australian National University
Shuang Chen,Huawei
Steve Reinhardt,Microsoft
Steven Swanson,UC San Diego
Stijn Eyerman,Intel
Sudarsun Kannan,Rutgers University
Sumanth Gudaparthi,AMD Research
Sundar Dev,Google
Suvinay Subramanian,Google
Swami Sundararaman,IBM Research
Swamit Tannu,"University of Wisconsin, Madison"
Tae Jun Ham,Google
Tamara Lehman,"University of Colorado, Boulder"
Thaleia Dimitra Doudali,IMDEA Software Institute
Tony Gutierrez,AMD Research
Tony Nowatzki,"University of California, Los Angeles"
Trevor E. Carlson,National University of Singapore
Tushar Krishna,Georgia Institute of Technology
Vasilis Gavrielatos,Huawei Research UK
Vidushi Dadu,Google
Wenjie Xiong,Facebook/Virginia Tech
Xipeng Shen,North Carolina State University and Facebook
Xu Liu,North Carolina State University
Yatin A. Manerkar,University of Michigan
Yongshan Ding,Yale University
Yu Hua,Huazhong University of Science and Technology
Ada Gavrilovska,Georgia Tech
Adrian Sampson,Cornell University
Adwait Jog,William & Mary
Akanksha Jain,Google
Akshitha Sriraman,University of Michigan / Carnegie Mellon University
Ali Javadi-Abhari,IBM
Ali Saidi,Amazon
Amirhossein Mirhosseini,University of Michigan
Angela Demke Brown,University of Toronto
Antoine Kaufmann,MPI-SWS
Baptiste Lepers,The University of Sydney
Baris Kasikci,University of Michigan
Caroline Trippel,Stanford University
Changhee Jung,Purdue University
Christina Delimitrou,Cornell University
Christopher Rossbach,University of Texas at Austin and Katana Graph
Dan Tsafrir,Technion & VMware Research
Daniel Sanchez,MIT
David Meisner,Facebook
David Nellans,NVIDIA
Dejan Kostić,KTH Royal Institute of Technology
Dmitry Ponomarev,Binghamton University
Dongyoon Lee,Stony Brook University
Edouard Bugnion,EPFL
Emmett Witchel,UT Austin and Katana Graph
Fan Yang,Microsoft Research Asia
Gennady Pekhimenko,University of Toronto / Vector Institute
Gerd Zellweger,VMware Research
Haibo Chen,Shanghai Jiao Tong University
Harry Xu,UCLA
Henry Hoffmann,University of Chicago
Hyesoon Kim,Georgia Tech
Jangwoo Kim,Seoul National University
Jason Nieh,Columbia University
Jayneel Gandhi,VMware Research
"Jing ""Jane"" Li",University of Pennsylvania
John Kim,KAIST
Johnathan Alsop,AMD Research
Jose Joao,Arm Research
Joseph Devietti,University of Pennsylvania
Joseph Izraelevitz,"University of Colorado, Boulder"
Joshua San Miguel,University of Wisconsin-Madison
Josiah Hester,Northwestern University
Junfeng Yang,Columbia University
Jung Ho Ahn,Seoul National University
Lieven Eeckhout,Ghent
Linhai Song,Pennsylvania State University
Lisa Wu Wills,Duke University
Madan Musuvathi,Microsoft Research
Manuel Rigger,ETH Zurich
Mark Silberstein,Technion
Martin Rinard,MIT
Matt Horsnell,Arm Research
Mengjia Yan,MIT
Michael Bond,Ohio State University
Michael Marty,Google
Michael O'Boyle,University of Edinburgh
Nandita Vijaykumar,University of Toronto
Onur Mutlu,ETH Zurich
Peng Wu,Facebook
Phillip Stanley-Marbell,Cambridge
Prashant Nair,University of British Columbia
Ras Bodik,University of Washington
Ryan Huang,Johns Hopkins University
Samira Khan,University of Virginia
Santosh Nagarakatte,Rutgers University
Sarita Adve,University of Illinois at Urbana-Champaign
Shan Lu,University of Chicago
Shoaib Kamil,Adobe
Sreenivas Subramoney,Intel Labs
Steven Swanson,UC San Diego
Swapnil Haria,Google
Tamara Lehman,"University of Colorado, Boulder"
Thomas Wenisch,University of Michigan
Tim Harris,Microsoft
Trevor E. Carlson,National University of Singapore
Tyler Sorensen,UC Santa Cruz
Wenguang Chen,Tsinghua University
Xipeng Shen,North Carolina State University and Facebook
Xu Liu,North Carolina State University
Xuanhua Shi,Huazhong University of Science and Technology
Xuehai Qian,University of Southern California
Yanjing Li,University of Chicago
Yatin Manerkar,University of Michigan / UC Berkeley
Yiying Zhang,"University of California, San Diego"
Yongshan Ding,Yale University
Yu Hua,Huazhong University of Science and Technology
Yuanyuan Zhou,UC San Diego
Yufei Ding,"University of California, Santa Barbara"
Yungang Bao,"ICT, CAS"
Zheng (Eddy) Zhang,Rutgers University
Abhishek Bhattacharjee,Yale University
Adrian Sampson,Cornell University
Alex Passos,Google
Alex Ramirez,Google
Alexandra (Sasha) Fedorova,University of British Columbia
Alexandros Daglis,Georgia Tech
Ali Javadi-Abhari,IBM
Amir Yazdanbakhsh,Google Research
Ana Klimovic,Google Brain / ETH Zurich
Andreas Moshovos,University of Toronto
Baris Kasikci,University of Michigan
Brandon Lucia,Carnegie Mellon University
Caroline Trippel,Stanford University
Christina Delimitrou,Cornell University
Christopher Fletcher,"University of Illinois, Urbana-Champaign"
Christopher Hughes,Intel
Christopher Rossbach,"University of Texas, Austin / VMware Research"
Dan Ports,Microsoft Research
Dan Tsafrir,Technion / VMware Research
Daniel Jiménez,Texas A&M University
Daniel Lustig,NVIDIA
Daniel Sanchez,MIT
Dimitrios Nikolopoulos,Virginia Tech
Ding Yuan,University of Toronto
Dmitry Ponomarev,Binghamton University
Eric Chung,Microsoft Azure
Guy Steele,Oracle Labs
Hadi Esmaeilzadeh,"University of California, San Diego"
Hakim Weatherspoon,Cornell University
Jacob Nelson,Microsoft Research
Jakub Szefer,Yale University
James Bornholt,"University of Texas, Austin"
Jason Cong,"University of California, Los Angeles"
Jay Lorch,Microsoft Research
Jing Li,University of Pennsylvania
Jishen Zhao,"University of California, San Diego"
John Vilk,"Stripe, Inc."
Jun Yang,University of Pittsburgh
Karu Sankaralingam,University of Wisconsin
Kathryn S. McKinley,Google
Kei Hiraki,Preferred Networks
Landon Cox,Microsoft Research
Li-Shiuan Peh,National University of Singapore
Lin Tan,Purdue University
Lindsey Kuper,"University of California, Santa Cruz"
Lisa Wu Wills,Duke University
Lizy John,"ECE Dept, University of Texas, Austin"
Marco Pistoia,JPMorgan Chase & Co.
Marco Serafini,"University of Massachusetts, Amherst"
Margo Seltzer,University of British Columbia
Mengjia Yan,MIT
Michael Carbin,MIT
Michael Marty,Google
Michael Swift,"University of Wisconsin, Madison"
Michael Taylor,University of Washington
Milind Kulkarni,Purdue University
Mingyu Gao,Tsinghua University
Nate Foster,Cornell University
Samira Khan,University of Virginia
Sara Achour,MIT
Sarah Chasins,"University of California, Berkeley"
Sasa Misailovic,"University of Illinois, Urbana-Champaign"
Shoaib Kamil,Adobe
Song Han,MIT
Sophia Shao,"University of California, Berkeley"
Steve Blackburn,Australian National University
Steven Swanson,"University of California, San Diego"
Thomas Wenisch,University of Michigan
Tipp Moseley,Google
Vijay Chidambaram,"University of Texas, Austin / VMware Research"
Vijay Janapa Reddi,"Harvard University / University of Texas, Austin / Google"
Yannis Smaragdakis,University of Athens
Yuan Xie,"University of California, Santa Barbara"
Yungang Bao,"Institute of Computing Technology, Chinese Academy of Sciences"
Zachary Tatlock,University of Washington
Yungang Bao,"ICT, CAS"
Emery Berger,University of Massachusetts
Abhishek Bhattacharjee,Yale University
Ricardo Bianchini,Microsoft Research
Steve Blackburn,Australian National University
Michael Bond,Ohio State University
David Brooks,Harvard University
Michael Carbin,MIT
Haibo Chen,SJTU
Albert Cohen,Google
Christina Delimitrou,Cornell University
David Devecsery,Georgia Tech
Joe Devietti,University of Pennsylvania
Yufei Ding,UC Santa Barbara
Lieven Eeckhout,Ghent University
Babak Falsafi,EPFL
Chris Fletcher,UIUC
Ada Gavrilovska,Georgia Tech
Boris Grot,University of Edinburgh
Qi Guo,ICT
Steven Hand,Google
Tim Harris,Amazon
Hank Hoffmann,University of Chicago
Ulya Karpuzcu,University of Minnesota
Kim Keeton,HP Labs
Martha Kim,Columbia University
John Kim,KAIST
Chandra Krintz,UC Santa Barbara
Milind Kulkarni,Purdue University
Benjamin Lee,Duke University
Jing Li,University of Wisconsin
Gabriel Loh,AMD
Jason Lowe-Power,UC Davis
Brandon Lucia,Carnegie Mellon University
Srilatha Manne,Microsoft
Margaret Martonosi,Princeton University
Kathryn McKinley,Google
Todd Mowry,Carnegie Mellon University
Michael O’Boyle,University of Edinburgh
Kunle Olukotun,Stanford University
Xuehai Qian,USC
Jonathan Ragan-Kelley,UC Berkeley
Christopher Rossbach,UT Austin
Adrian Sampson,Cornell University
Sophia Shao,NVIDIA
Tim Sherwood,UC Santa Barbara
Tatiana Shpeisman,Google
Mark Silberstein,Technion
Steve Swanson,UC San Diego
Mike Swift,University of Wisconsin
Lin Tan,Purdue University
Zachary Tatlock,University of Washington
Mohit Tiwari,University of Texas at Austin
Caroline Trippel,Princeton University
Emmett Witchel,University of Texas at Austin
Jae Wook Lee,SNU
Harry Xu,UCLA
