Shaizeen Aga,AMD Research
Dan Alistarh,IST
Amro Awad,University of Central Florida
Koen Bertels,TU Delft
Simone Campanoni,Northwestern University
John Carter,IBM
Eric Chung,Microsoft
Sylvain Collange,INRIA
Chita Das,Penn State University
Christina Delimitrou,Cornell
Sandhya Dwarkadas,University of Rochester
Kaoutar El Maghraoui,IBM Research
Bjoern Franke,University of Edinburgh
Jay Gambetta,IBM Research
Dibakar Gope,ARM
Song Han,MIT
Jung Ahn Ho,SNU
Nima Honarmand,SUNY StonyBrook
Yipeng Huang,Princeton University
Aamer Jaleel,NVIDIA
Alexandra Jimborean,Uppsala
Lizy Kurian John,UT Austin
David Kaeli,Northeastern University
Stefanos Kaxiras,Uppsala University
Hyesoon Kim,Georgia Tech
Christos Kozyrakis,Stanford
Ruby Lee,Princeton
Gabriel Loh,AMD Research
Seda Memik,Northwestern
Pierre Michaud,INRIA
Trevor Mudge,University of Michigan
Tony Nowatzki,UCLA
Emre Ozer,ARM
Yale Patt,University of Texas at Austin
Li-Shiuan Peh,National University of Singapore
Arthur Perais,Microsoft
Dionisios Pnevmatikatos,FORTH & Technical University of Crete
Moinuddin Qureshi,Georgia Tech
Vijay Janapa Reddi,Harvard University
Yanos Sazeides,University of Cyprus / Intel
Sophia Shao,NVIDIA
Cristina Silvano,Politecnico di Milano
Anand Sivasubramaniam,Penn State University
Mary Lou Soffa,University of Virginia
Niranjan Soundararajan,Intel
Viji Srinivasan,IBM Research
Per Stenstrom,Chalmers
Zehra Sura,IBM Research
Elvira Teran,Texas A&M University
James Tuck,NCSU
Salil Wadhavkar,NVIDIA
Paul Whatmough,Harvard University
Qing Yi,University of Colorado
Amir Ziabari,AMD
Sudhanva Gurumurthi,Univ of Virginia/AMD
Onur Mutlu,ETH-Zurich
Xipeng Shen,North Carolina State
Lixin Zhang,Institute of Computing Technology
Shreesha Srinath,Cornell University
Neha Agarwal,Google
Newsha Ardalani,Baidu
Rajeev Balasubramonian,University of Utah
Alper Buyuktosunoglu,IBM
Trevor E. Carson,National University of Singapor
Yiran Chen,Duke University
Jason Clemons,NVIDIA
Guilherme Cox,NVIDIA
Subhasis Das,Zoox
Parijat Dube,IBM Research
Lieven Eeckhout,Ghent University
Paolo Faraboschi	HP
Dan Friedman,IBM Research
Jayneel Gandhi,VMware
Boris Grot,University of Edinburgh
Mark Hill,Wisconsin
James Hoe,CMU
Yang Hu,University of Texas at Dallas
Akanksha Jain,Univ of Texas at Austin
Natalie Enright Jerger,U Toronto
Daniel Jimenez,Texas A&M University and Barcelona Supercomputing Center
Norm Jouppi,Google
Sudarsun Kannan,Rutgers
Steve Keckler,NVIDIA
Jangwoo Kim,Seoul National University
James Larus,EPFL
Calvin Lin,Texas
Mike Marty,Google
Bilha Mendelson,Optitura
Jaime Moreno,IBM Research
Satish Narayanasamy,University of Michigan
Lena E. Olson,Google
Shruti Padmanabha,Facebook
Thomas Pawlowski,Micron
Dimitros Pendarakis,IBM
Timothy Pinkston,USC
Danica Porobic,Oracle
Partha Ranganathan,Google
Eric Rotenberg,North Carolina State University
Daniel Sanchez,MIT
Andre Seznec,INRIA
Tim Sherwood,UC Santa Barbara
Balaram Sinharoy,IBM
James Smith,Wisconsin Emeritus
Tyler Sorenson,Princeton University
Uma Srinivasan,Twitter
Phillip Stanley-Marbell,University of Cambridge
Craig Stunkel,IBM Research
Radu Teodorescu,Ohio State
Josep Torrellas,UIUC
TN Vijaykumar,Purdue University
Thomas Wenisch,University of Michigan
Lisa Wu,Berkeley
Wei Zhang,Alibaba Group
Tor Aamodt,University of British Columbia
Luwa Matthews,Princeton University
Keshav Pingali,University of Texas - Austin
Gu-Yeon Wei,Harvard University
Wei Zhang,IBM Research
Ricardo Bianchini,Microsoft